,Message,Length
2817,didnt you say insert doesnt take a pointer the first parameter,62
2818,mmap,4
2819,sproute i think you'll be the first skid to achieve,51
2820,give him almost smart role,26
2821,sproute finally learning without gpt,36
2822,now that im xoring before mov and stuff im crashing,51
2823,holly yappatron,15
2824,i will learn,12
2825,and shit,8
2826,the pages,9
2827,change,6
2828,gladly,6
2829,do you have injector,20
2830,i need injector,15
2831,not even for fun,16
2832,you dont just say kill yourself,31
2833,digga,5
2834,no one would know its because of me,35
2835,(never will),12
2836,what if i did kill myself,25
2837,im very sorry,13
2838,bro told me to kill myself,26
2839,i msrory,8
2840,😭 😭 😭 😭 😭 😭 😭 😭,15
2841,OH,2
2842,why would you,13
2843,TO SHOWCASE,11
2844,I KNOW,6
2845,r u stupid,10
2846,32 bits,7
2847,and put it to,13
2848,you compiled it,15
2849,go kill yourself,16
2850,NO SHIT DIGGA,13
2851,ecx edx eax\nrcx rdx rax,24
2852,ion,3
2853,are you restarded,17
2854,instruct,8
2855,64 bits,7
2856,rax is,6
2857,assembly to shellcode,21
2858,sirhurt does it,15
2859,like real,9
2860,thanlk,6
2861,pseudo signing is a thing u can do,34
2862,teach pro hacker rn to me,25
2863,what is this,12
2864,do you know assembly??,22
2865,eax = 32 bits,13
2866,rax = 64 bits,13
2867,never use 32 bits,17
2868,everything is done in 64 biyts,30
2869,psl work for xspy iwil pay 1 robux a month,42
2870,omg ex xspy member,18
2871,pls work for xspy,17
2872,smart,5
2873,you seem,8
2874,lawliet,7
2875,let me make it a video,22
2876,idk if anyone needs this:,25
2877,guys it works!,14
2878,gonna switch  to my dll rq and rename it,40
2879,just sit aorund and wait until skids figure out they can pseudo-sign their DLLs,79
2880,ye i still dont get SHt so uh,29
2881,haha,4
2882,the other half won't know how to update it,42
2883,half the skids here don't know how to code,42
2884,"can you imagine everyone, and i mean everyone making their injector with whitelisting",85
2885,[Angry](,8
2886,hyperion page whitelist,23
2887,it sucks,8
2888,ignore the auto typing,22
2889,what the fuck is this,21
2890,woah now set_insert last argument for me is a char pointer,58
2891,let me check assembly,21
2892,does ida?,9
2893,because the pseudocode sucks,28
2894,why the reset not take pointer,30
2895,take note,9
2896,alright,7
2897,are you encrypting your pages,29
2898,i was doing it,14
2899,just now,8
2900,done,4
2901,rax rcx rdx r8,14
2902,that was alot,13
2903,took me like 30 minuttes to figure out how to get them,54
2904,your addresses are correct,26
2905,i do that?,10
2906,give me a sec,13
2907,obviously you'd know,20
2908,pages = correct btw,19
2909,can we move to dms or ??,24
2910,"or maybe it is, but not the correct templated one",49
2911,that is not set::insert,23
2912,where the fuck are you looking,30
2913,thats good to know,18
2914,this confuser,13
2915,wait am i using wrong registers??,33
2916,what is that 0x40,17
2917,read the pseudocode and look at how byfron calls it,51
2918,how am i calling it wornggg,27
2919,because you're calling it wrong,31
2920,but also doesnt crash,21
2921,i cant understand why it doesnt work,36
2922,how to find script context offset plox (on macos arm),53
2923,really?,7
2924,smartest man I ever met,23
2925,he is,5
2926,and stuff,9
2927,emulators,9
2928,with clvms,10
2929,"i heard you are pretty ""advanced""",33
2930,is that any true,16
2931,i heard u have a hyperion emulator,34
2932,I'm pretty sure you can do shit like shellcode reflective injection,67
2933,you can mmap,12
2934,thread pool and mmap,20
2935,need to do,10
2936,dont you,8
2937,ill experiemnt,14
2938,ooh,3
2939,the value doesn't matter but it needs to be valid,49
2940,you need a valid ptr for the 2nd argument,41
2941,thread hijacking,16
2942,poolparty?,10
2943,depends on how you spawn it,27
2944,okay well why doesnt my code work?,34
2945,¯\_(ツ)_/¯,9
2946,it doesn't matter,17
2947,pleas,5
2948,say that in assembly,20
2949,reduces the size,16
2950,you could just pass a ptr to data instead of passing multiple pointers,70
2951,whats wong,10
2952,with actual,11
2953,i replace it,12
2954,yeah?,5
2955,0x1111111111111111,18
2956,your shellcode sucks btw,24
2957,yea kyd,7
2958,no way,6
2959,whattt,6
2960,instructions,12
2961,assembly,8
2962,shellcode is,12
2963,it also gives the comments 🤑,28
2964,i made a python program to do that and thats the thing it gave me,65
2965,compile what,12
2966,compile it to shellcode,23
2967,in shellcode how would i do it,30
2968,can i ask a question,20
2969,terrific.,9
2970,"I checked your bio, turns out I was lied to..",45
2971,your insane,11
2972,thanks so much,14
2973,oooh,4
2974,this is terrific,16
2976,you don't need to supply one,28
2977,what is the middle paramater of set_insert when whitelisting my pages,69
2978,u know what else is massive😈,28
2979,dude it is still massive,24
2980,meme,4
2981,it's that that low taper fade like,34
2982,you know what else is crazy?,28
2983,indeed,6
2984,that's crazy,12
2985,what so hard to understand,26
2986,this commit just so happens to also add a seperate script for offsets,69
2987,one whole commit,16
2988,ethan legit,11
2989,whatever helps you sleep at night tho,37
2990,"so either he wrote 2 fully random UNC functions and never gave you any code after that, or your code contains a lot from ballistic",130
2991,And it jus tso coincidentally happens that you used his naming for two completely unrelated functions,101
2992,Why rewrite something he already has written that works,55
2993,"Because Ethan already wrote like 90% UNC, so I assume any parts that he wrote for your project were probably copy-pasted from his old code",138
2994,the fact that you can even recognise the style tells me that you skid ballistic often,85
2995,do you have the ability to think,32
2996,that 50% of the exec was written by ethan,41
2997,automatically assumed,21
2998,and you just,12
2999,i showed you one fucking comment,32
3000,"""half""",6
3001,forget a 0?,11
3002,5% yet somehow half the function names are the exact same as he called them in ballistic,88
3003,When velocity was sonar,23
3004,Back in the ancient days,24
3005,He only did a few unc funcs,27
3006,5%,2
3007,Ethan's code is like,20
3008,Will educate myself more next time,34
3009,I'm **sorry** I don't know who's on the dev team for your shitsploits,69
3010,also,4
3011,"so, by extension, velocity sucks as well",40
3012,"Ballistic was a piece of shit, and always will be a piece of shit",65
3013,"awesome, code debt",18
3014,im new to roblox's like functioning and stuff,45
3015,i have proper offsets and stuff what method should i use to access and read/write memory? im using cpp,102
3016,just a dogshit esp,18
3017,would it be hard to code an external esp in C,45
3018,Interesting,11
3019,its already,11
3020,is it true asshurt is coming back with 100% unc,47
3021,85%,3
3022,Ethan authored most of ballistic,32
3023,jjsploit best api,17
3024,shut up bro,11
3025,"velocity is worked on by me, **Ethan** and CG",45
3026,ignorance = retard behaviour,28
3027,And I can't believe it's not love!,34
3028,What !!,7
3029,retard award 🏅 🏅 🏅,18
3030,ah bru,6
3031,weirdest shit I've seen,23
3032,no it's like a function call,28
3033,get bytecode + 0x10,19
3034,Because apparently reading from an offset is too difficult,58
3035,Ethan used it to get bytecode,29
3036,request_code unknown for me,27
3037,straight from ballistic source code,35
3038,"I was looking at `request_code`, `KTable`, and `GetProperty`",60
3039,nigga really call it lua_pushinstance,37
3040,it's like announcing you skidded ballistic,42
3041,also what are those variable names,34
3042,an AOB scanner is like 20 loc,29
3043,So write a dumper,17
3044,in ida,6
3045,scan*,5
3046,i lookup the mem patterns manually,34
3047,i dont know,11
3048,maybe i did,11
3049,i dont remember seeing the word __zephyr__,42
3050,in ken's gc,11
3051,its the shitsploit i worked on,30
3052,whar,4
3053,idk whats zephyr mate,21
3054,remember that?,14
3055,i'll,4
3056,i used it for Zephyr,20
3057,l'll,4
3058,but its outdated asf,20
3059,i do have a dumper,18
3060,i already know where everything is,34
3061,learn how to pattern scan,25
3062,too lazy man,12
3063,make a fucking dumper then,26
3064,cus u guys got fed too much shit,32
3065,its called discord moment when ctrl-z you utter retard,54
3066,Come suck my dick pls,21
3067,<@&1277822233540034580> Pedophile.,34
3068,"""proper education"" and ""highschool"" don't go well in the same sentence",70
3069,i just finished the update aswell,33
3070,unlike most devs here,21
3071,cuz i get proper education,26
3072,from HS,7
3073,+ i just came back,18
3074,40 addresses,12
3075,we have like,12
3076,doing all that while it takes 10 min max to update,50
3077,why doesnt velocity js update 😭,31
3078,avg exploiter is braindead skid,31
3079,actually quite interesting interview,36
3080,freaky muzhlanchik,18
3081,this is for developers,22
3082,sir the average exploiter isnt in this server,45
3083,what do u mean,14
3084,Unfortunately?,14
3085,Or is that just most of u,25
3086,to be edgy and cringe af,24
3087,Is it like apart of being exploiter,35
3088,i had it at the tip of my tounge,32
3089,YEAH,4
3090,u mean decompile,16
3091,exploiting is at it's worst 😔,29
3092,kinda annoying how i have to decompile scripts to see if its legit or another robux drainer holy shit,101
3093,so how can u outdo me if u legit ask for dll,44
3094,i rape people like u,20
3095,I bet you I can outdo you so how I got no brain Bafelson,56
3096,Your role says you’re a pedo,28
3097,THATS WHAT I THOUGHT,20
3098,HAHAHA,6
3099,YEA,3
3100,"I can here code:\nDll()\nPrint(""dll loaded"")",44
3101,Why bro's voice doesnt look like him,36
3102,[]print (hello word)!! something like that,42
3103,sry didnt mean to put an `.` there,34
3104,i was nothing,13
3105,I’m a UI designer,17
3106,noob cant make an exploit,25
3107,"# If you can make a good DLL DM me, no retards please and thank you.",68
3108,aaa,3
3109,aa ping,7
3110,can someone send me atlantis-argon src?,39
3111,or do i only need one of them,29
3112,do u want to find all the offsets in,36
3113,im confused,11
3114,NEMI INTERVIEW,14
3115,is there a ready project i can use,34
3116,🖕,1
3117,no i 🖤 it,9
3118,Do you transheart it,20
3119,Fr,2
3120,"To drop soap:\nPrint(""soap drop"")\nCall_tyrone()\nClap()",56
3122,"Like Entity List Guide, View Matrix Guide, or sum.",50
3123,besides in <#1277823807779770449>,33
3124,❤️,2
3125,who has GH leaks,16
3126,UD BSOD overlay,15
3127,who care bro,12
3128,wow look who joined yo server and left,38
3129,i transheart this emoji,23
3130,ew.,3
3131,I clearly stopped talking about/to you,38
3132,ywa atp you're just toxic,25
3133,is he sucking ur cock rn,24
3134,oh no,5
3135,you gotta die my nigga,22
3136,broski...?,10
3137,yeah ur not worth the time bro,30
3138,this dog,8
3139,do u have dementia,18
3140,nigga what are you saying,25
3141,pathetic dog,12
3142,broski cant say anything now so he decided being a grammar nazi,63
3143,somewhere from europe where they dont speak english,51
3144,are you like,12
3145,"""the fuck even did u do"" 🔥",26
3146,bros brain dead,15
3147,the fuck even did u do dawg,27
3148,literally 0 contribution,24
3149,this nigga,10
3150,you didnt do any shit man,25
3151,by flaming the support application?,35
3152,well yea im indeed in ahigher class than you,44
3153,u literally started an argument,31
3154,um,2
3155,between me and the retard,25
3156,fucking egoistic,16
3157,the fuck did i say to initiate an argument,42
3158,u think ur a superior,21
3159,answer my question retigga,26
3160,ur literally slobbering,23
3161,i dont want stds,16
3162,i aint on yo dick,17
3163,i aint dodging ?,16
3164,dont dodge,10
3165,hop off my dick,15
3166,get a life,10
3167,nah nigga,9
3168,keyboard warrior,16
3169,because shit clearly wasnt my intention,39
3170,why are u butt hurt tho,23
3171,with words,10
3172,yea i didnt start shit,22
3173,bro said he didn't start shit?,30
3174,pls go back working for your master,35
3175,fuck u mean yeah lmao,21
3176,retard,6
3177,i gave my opinion on the question,33
3178,yea?,4
3179,"you go somewhere where i cant text and js sayin ""keep barking""",62
3180,you work for a nigga that cant do shit,38
3181,retigga,7
3182,where did i start a flame for no reason,39
3183,on yo arm,9
3184,😉,1
3185,the big blue one,16
3186,the big one,11
3187,im always above u,17
3188,keep barking,12
3189,slit yo vein,12
3190,okay lol,8
3191,"""sounds reasonable for me"" didnt even read the convo from the top",65
3192,do i gaf?,9
3193,then do something bro 😂,23
3194,are u butt hurt,15
3195,slide,5
3196,shit,4
3197,you think im letting,20
3198,what do u want me to do dawg,28
3199,and??,5
3200,and?,4
3201,fuck,4
3202,my,2
3203,behind,6
3204,keyboard warrior ahhh,21
3205,youare,6
3206,why bros mad,12
3207,LMFAOOO,7
3208,TALKING SHIT BEHIND MY BACK LIKE A TARD?,40
3209,YEAA NIGGA HERE THERE'S NO AUTOMOD,34
3210,sth,3
3211,shut up are,11
3212,binary ninja script to load my dumps to roblox client,53
